ACCOUNT_ID,GROSS_TRANSACTION_AMOUNT,MERCHANT_CATEGORY_LEVEL_1,CARD_TYPE,CARD_HOLDER_CITY,CARD_HOLDER_STATE,CARD_HOLDER_GENERATION,CARD_PRESENT_INDICATOR,SHOPPER_CLASSIFICATION
A5112910,10.14,Restaurants and Food Services,Debit,EL PASO,TX,Unknown,Card Not Present,0
A6703946,16.32,Restaurants and Food Services,Credit,LADERA RANCH,CA,Baby Boomer,Card Present,0
A1121861,19.79,Restaurants and Food Services,Credit,LAS VEGAS,,Baby Boomer,Card Present,0
A4822574,1.22,Restaurants and Food Services,Credit,MILTON,TN,Gen X,Unknown,0
A1542079,26.73,Restaurants and Food Services,Debit,SHELBYVILLE,TN,Millennial,Card Present,0
A4739376,2.89,Restaurants and Food Services,Debit,PORT WENTWORTH,GA,Gen Z,Card Present,0
A6622920,8.34,Restaurants and Food Services,Credit,PALM HARBOR,FL,Millennial,Card Not Present,0
A8360916,5.92,Restaurants and Food Services,Debit,MINNEAPOLIS,MN,Gen X,Card Present,0
A4440971,9.95,Restaurants and Food Services,Debit,BESSEMER,AL,Gen Z,Card Present,0
A1774786,10.55,Restaurants and Food Services,Debit,MARRERO,LA,Unknown,Card Present,0
A2788189,10.96,Restaurants and Food Services,Debit,LAGRANGE,IN,Unknown,Unknown,0
A4058632,9.7,Restaurants and Food Services,Debit,ARLINGTON,TN,Millennial,Card Present,0
A8797015,3.2,Restaurants and Food Services,Debit,SOUTHFIELD,MI,Millennial,Card Present,0
A3928925,2.51,Consumer Services,Credit,RIVERBANK,CA,Gen X,Card Present,0
A7330143,40.7,Restaurants and Food Services,Debit,FARMER CITY,IL,Baby Boomer,Card Present,0
A6711681,8.73,Restaurants and Food Services,Debit,LA VERGNE,,Gen X,Card Present,0
A7528508,20.51,Restaurants and Food Services,Credit,ATLANTA,GA,Unknown,Card Present,2
A6979332,14.88,Restaurants and Food Services,Debit,BRISTOW,VA,Unknown,Unknown,0
A6765051,2.76,Restaurants and Food Services,Credit,SAN JOSE,CA,Millennial,Card Present,1
A4144849,12.98,Restaurants and Food Services,Debit,NORTH WATERBORO,ME,Gen X,Card Present,0
A9938403,8.01,Restaurants and Food Services,Credit,LORTON,VA,Millennial,Card Not Present,0
A4770740,20.53,Restaurants and Food Services,Payroll,TECUMSEH,OK,Unknown,Unknown,0
A4349374,12.72,Restaurants and Food Services,Debit,ROANOKE,VA,Baby Boomer,Card Present,0
A4184786,11.5,Restaurants and Food Services,Debit,SHELBY,NC,Millennial,Card Present,0
A4949224,11.08,Restaurants and Food Services,Debit,PLAINFIELD,IL,Gen X,Card Present,0
A1521887,11.26,Restaurants and Food Services,Debit,FLORAL CITY,FL,Unknown,Card Present,2
A7766682,15.47,Restaurants and Food Services,Debit,INDIANAPOLIS,IN,Baby Boomer,Card Present,0
A4353330,10.83,Restaurants and Food Services,Debit,HALEIWA,HI,Millennial,Unknown,2
A8112569,1.5,Consumer Services,Debit,PHILADELPHIA,PA,Unknown,Card Present,0
A1812382,2.95,Restaurants and Food Services,Debit,READING,PA,Millennial,Card Present,0
A4388685,12.22,Restaurants and Food Services,Credit,UTUADO,PR,Gen X,Card Present,0
A1300243,1.75,Restaurants and Food Services,Debit,BATON ROUGE,LA,Gen Z,Card Present,0
A2080681,1.59,Consumer Services,Debit,SPRING HILL,TN,Gen Z,Card Present,0
A3561172,13.62,Restaurants and Food Services,Debit,PLANO,TX,Gen Z,Card Not Present,0
A4992676,9.03,Restaurants and Food Services,Debit,WAXAHACHIE,TX,Millennial,Unknown,0
A6266870,5.43,Restaurants and Food Services,Debit,LAFAYETTE,LA,Millennial,Card Present,0
A1827719,15.99,Restaurants and Food Services,Credit,MINNEAPOLIS,MN,Millennial,Card Present,0
A7979943,1.47,Restaurants and Food Services,Debit,GARLAND,TX,Gen Z,Unknown,2
A4145986,1.95,Restaurants and Food Services,Debit,TALLAHASSEE,FL,Unknown,Card Present,0
A7707432,26.43,Restaurants and Food Services,Credit,BIRMINGHAM,AL,Baby Boomer,Card Present,0
A6149237,8.35,Restaurants and Food Services,Debit,SYRACUSE,NY,Baby Boomer,Card Present,0
A4447656,10.47,Restaurants and Food Services,Debit,EL PASO,TX,Unknown,Unknown,0
A3793411,2.21,Restaurants and Food Services,Credit,DICKEYVILLE,WI,Millennial,Card Present,0
A7016203,15.07,Restaurants and Food Services,Credit,BETHLEHEM,PA,Millennial,Card Not Present,0
A5920981,27.44,Restaurants and Food Services,Debit,BALTIMORE,MD,Millennial,Unknown,0
A3081624,16.84,Restaurants and Food Services,Debit,FAIRFIELD,CA,Millennial,Card Present,0
A7355039,9.94,Restaurants and Food Services,Debit,DEL RIO,TX,Baby Boomer,Card Present,0
A1469947,26.67,Restaurants and Food Services,Debit,FORT WAYNE,IN,Gen X,Unknown,0
A6888911,8.38,Restaurants and Food Services,Debit,MIDDLEFIELD,OH,Gen Z,Card Present,0
A9841987,22.53,Restaurants and Food Services,Debit,TAMPA,FL,Unknown,Card Not Present,0
A8420489,7.56,Restaurants and Food Services,Debit,COLUMBUS,OH,Millennial,Card Not Present,0
A3102282,17.26,Restaurants and Food Services,Debit,MINNEAPOLIS,MN,Millennial,Card Present,0
A1179613,6.01,Restaurants and Food Services,Debit,MIDLAND,MI,Baby Boomer,Card Not Present,0
A5984732,7.0,Restaurants and Food Services,Debit,EL PASO,TX,Gen X,Card Not Present,0
A8085597,18.01,Restaurants and Food Services,Debit,STATE COLLEGE,PA,Gen X,Unknown,0
A2105609,16.14,Restaurants and Food Services,Debit,NASHUA,NH,Millennial,Card Present,0
A1131709,0.01,Restaurants and Food Services,Credit,MILLSBORO,DE,Unknown,Unknown,1
A6372219,8.58,Restaurants and Food Services,Debit,LANCASTER,,Gen X,Card Present,0
A3305798,23.18,Restaurants and Food Services,Debit,WINCHESTER,IN,Millennial,Card Present,0
A6936142,26.89,Restaurants and Food Services,Debit,MARTINS FERRY,OH,Gen Z,Card Not Present,0
A9464670,6.69,Restaurants and Food Services,Credit,MADISON,WI,Millennial,Card Not Present,2
A9177613,7.86,Restaurants and Food Services,Debit,DRUMMONDS,TN,Gen X,Card Present,2
A5061973,9.38,Restaurants and Food Services,Debit,MADISON,WI,Gen Z,Card Not Present,0
A9977302,15.85,Restaurants and Food Services,Debit,PITTSBURGH,PA,Millennial,Card Present,2
A7786525,5.22,Restaurants and Food Services,Credit,BAY VILLAGE,OH,Millennial,Card Present,0
A5481427,61.46,Restaurants and Food Services,Debit,EL PASO,TX,Gen X,Card Present,0
A7867225,9.8,Restaurants and Food Services,Credit,PARLIER,CA,Millennial,Card Not Present,2
A3204208,6.8,Restaurants and Food Services,Debit,DORCHESTER CENTER,MA,Unknown,Unknown,0
A4161364,11.97,Restaurants and Food Services,Debit,KALAMAZOO,MI,Millennial,Unknown,0
A8898021,4.75,Restaurants and Food Services,Debit,VAIL,AZ,Unknown,Card Present,0
A7131314,5.52,Restaurants and Food Services,Credit,COLUMBUS,OH,Silent,Card Present,2
A2950154,4.35,Restaurants and Food Services,Debit,JACKSONVILLE,NC,Gen X,Card Present,0
A5740342,24.81,Restaurants and Food Services,Credit,BETHEL PARK,PA,Unknown,Card Not Present,0
A2440333,8.02,Restaurants and Food Services,Debit,GAFFNEY,SC,Gen Z,Card Not Present,0
A2975664,19.93,Restaurants and Food Services,Debit,OWOSSO,MI,Millennial,Card Present,0
A6511368,5.56,Restaurants and Food Services,Debit,MILWAUKEE,WI,Millennial,Card Present,0
A2950610,13.8,Restaurants and Food Services,Debit,LEWISTON,ID,Unknown,Unknown,0
A2737793,15.45,Restaurants and Food Services,Debit,NICHOLS,SC,Gen X,Card Present,0
A5971287,13.79,Restaurants and Food Services,Debit,TRENTON,NJ,Unknown,Card Not Present,2
A1344735,10.14,Restaurants and Food Services,Debit,BROWNSBURG,IN,Unknown,Card Present,0
A8543069,11.21,Restaurants and Food Services,Credit,EDEN PRAIRIE,MN,Unknown,Card Present,0
A8921608,15.11,Restaurants and Food Services,Debit,PAW PAW,MI,Millennial,Card Present,0
A6615450,6.32,Restaurants and Food Services,Credit,ALMONT,MI,Unknown,Card Not Present,2
A3826482,35.62,Restaurants and Food Services,Debit,SAINT LOUIS,MO,Millennial,Card Present,0
A2179817,23.84,Restaurants and Food Services,Debit,POINT MARION,PA,Gen Z,Card Present,0
A7750998,18.75,Restaurants and Food Services,Debit,HOLLY,MI,Millennial,Card Present,0
A9889635,4.32,Travel and Leisure,Debit,JACKSONVILLE,FL,Unknown,Unknown,0
A2623302,22.03,Restaurants and Food Services,Debit,GLENDALE,CA,Baby Boomer,Card Present,0
A9426609,8.28,Restaurants and Food Services,Credit,SAN ANTONIO,TX,Millennial,Card Present,0
A9416894,13.67,Restaurants and Food Services,Debit,ELKINS,WV,Gen X,Card Present,2
A9254374,15.43,Restaurants and Food Services,Credit,MABLETON,GA,Gen Z,Card Present,0
A8456516,7.34,Restaurants and Food Services,Debit,AKRON,OH,Gen X,Card Present,0
A4198120,21.72,Restaurants and Food Services,Credit,CLARKSBURG,MD,Millennial,Card Not Present,2
A3321606,11.36,Restaurants and Food Services,Debit,PRATTVILLE,AL,Gen Z,Card Present,0
A4293912,14.53,Restaurants and Food Services,Debit,CHARLESTON,WV,Gen X,Card Present,2
A2577911,1.87,Consumer Services,Credit,BAGLEY,MN,Millennial,Card Present,0
A1946493,1.48,Restaurants and Food Services,Debit,HAMPTON,VA,Gen Z,Card Present,0
A6355447,10.0,Restaurants and Food Services,Credit,BUCKEYE,AZ,Baby Boomer,Card Present,0
A9666414,7.06,Restaurants and Food Services,Debit,CANTONMENT,FL,Millennial,Unknown,0
A7704278,12.53,Restaurants and Food Services,Debit,SAINT CHARLES,IL,Millennial,Card Not Present,0
A2997293,12.06,Restaurants and Food Services,Credit,LEESBURG,VA,Unknown,Card Not Present,2
A2150233,3.55,Restaurants and Food Services,Debit,MADISON HEIGHTS,MI,Millennial,Card Present,0
A5348125,16.08,Restaurants and Food Services,Debit,BURLINGTON,KY,Gen Z,Card Present,0
A5231876,27.0,Restaurants and Food Services,Debit,VIENNA,VA,Gen X,Card Present,2
A2950610,15.87,Restaurants and Food Services,Credit,LELAND,NC,Baby Boomer,Card Present,2
A2533999,20.67,Restaurants and Food Services,Credit,BATON ROUGE,LA,Millennial,Card Not Present,2
A8456516,21.86,Restaurants and Food Services,Debit,NORWELL,MA,Unknown,Card Present,0
A3093783,37.24,Restaurants and Food Services,Debit,WINCHESTER,VA,Gen Z,Card Not Present,0
A8971999,27.75,Restaurants and Food Services,Debit,HUNTSVILLE,AL,Gen Z,Card Present,0
A3630749,16.79,Restaurants and Food Services,Debit,YUMA,AZ,Gen X,Card Present,0
A6888911,13.31,Restaurants and Food Services,Credit,BOGART,GA,Unknown,Card Present,2
A5758674,11.12,Restaurants and Food Services,Debit,JACKSONVILLE,FL,Gen X,Unknown,0
A3325060,17.47,Restaurants and Food Services,Credit,HUNTERSVILLE,NC,Millennial,Card Present,0
A9733737,13.04,Restaurants and Food Services,Debit,LANSING,MI,Millennial,Card Present,0
A6248724,36.68,Restaurants and Food Services,Debit,ALBANY,GA,Millennial,Unknown,0
A9384681,18.7,Restaurants and Food Services,Debit,ALIQUIPPA,PA,Gen X,Unknown,0
A9584313,8.04,Restaurants and Food Services,Credit,PLACENTIA,CA,Baby Boomer,Card Not Present,0
A1301360,8.1,Restaurants and Food Services,Credit,COLORADO SPRINGS,CO,Gen X,Card Present,0
A6103359,1.48,Restaurants and Food Services,Credit,MILLS RIVER,NC,Baby Boomer,Card Present,2
A4890698,3.35,Restaurants and Food Services,Debit,OCONTO FALLS,WI,Baby Boomer,Card Present,0
A2022810,10.58,Restaurants and Food Services,Debit,PLAINFIELD,IN,Gen X,Card Present,0
A4180172,8.95,Restaurants and Food Services,Debit,ZEELAND,MI,Gen X,Card Present,0
A4016829,9.58,Restaurants and Food Services,Credit,PRESCOTT VALLEY,AZ,Gen X,Card Present,0
A2419066,2.26,Travel and Leisure,Debit,NAPPANEE,IN,Millennial,Unknown,2
A6862542,12.5,Restaurants and Food Services,Debit,CANTON,OH,Gen Z,Card Present,0
A1209900,19.42,Restaurants and Food Services,Debit,LORAIN,OH,Millennial,Card Not Present,0
A4192548,10.44,Restaurants and Food Services,Debit,LAFAYETTE,LA,Baby Boomer,Card Present,0
A4853216,7.22,Restaurants and Food Services,Debit,OAKDALE,PA,Unknown,Card Present,0
A4136482,10.16,Restaurants and Food Services,Debit,MINNEAPOLIS,MN,Millennial,Card Present,0
A6695854,52.64,Restaurants and Food Services,Debit,FORT MILL,SC,Gen X,Card Present,0
A3115267,34.9,Restaurants and Food Services,Debit,MADRID,IA,Gen X,Card Not Present,0
A8630237,4.69,Restaurants and Food Services,General Purpose,NEW HAVEN,CT,Unknown,Card Present,0
A6956437,6.66,Restaurants and Food Services,Credit,SEATTLE,WA,Unknown,Card Present,0
A8487878,18.81,Restaurants and Food Services,Credit,HERRIMAN,UT,Millennial,Card Present,2
A6760655,10.24,Restaurants and Food Services,Debit,WEST JORDAN,UT,Gen X,Card Present,0
A6162340,5.04,Restaurants and Food Services,Debit,DOTHAN,AL,Millennial,Card Present,2
A9991796,4.96,Restaurants and Food Services,Debit,RACINE,WI,Baby Boomer,Card Not Present,0
A9938403,4.91,Restaurants and Food Services,Debit,RALEIGH,NC,Unknown,Unknown,1
A8112569,6.77,Restaurants and Food Services,Debit,SEYMOUR,CT,Millennial,Card Present,0
A4987898,7.61,Restaurants and Food Services,Credit,FORNEY,TX,Millennial,Card Present,0
A4970682,18.97,Restaurants and Food Services,Credit,HOLLYWOOD,FL,Millennial,Card Present,0
A2527147,9.76,Restaurants and Food Services,Debit,CLOVER,SC,Gen Z,Card Present,0
A7203922,3.42,Consumer Services,Debit,JACKSON,MN,Gen Z,Unknown,0
A8830625,16.3,Restaurants and Food Services,Debit,EL PASO,TX,Baby Boomer,Card Present,0
A8079854,2.6,Restaurants and Food Services,Debit,GRAND PRAIRIE,TX,Gen Z,Unknown,0
A9253204,1.47,Restaurants and Food Services,Debit,FALLS CHURCH,VA,Gen Z,Unknown,0
A4285479,15.43,Restaurants and Food Services,Debit,FAIR HAVEN,VT,Baby Boomer,Card Present,0
A9424377,31.85,Restaurants and Food Services,Debit,BELLE GLADE,FL,Unknown,Card Not Present,0
A3337006,37.93,Restaurants and Food Services,Debit,DECATUR,IL,Gen X,Card Present,0
A2695405,70.9,Restaurants and Food Services,Debit,ROCHESTER,MN,Millennial,Card Present,0
A2719859,18.24,Restaurants and Food Services,Debit,NIAGARA FALLS,NY,Gen Z,Card Present,0
A9283943,13.67,Restaurants and Food Services,Debit,SYLACAUGA,AL,Millennial,Card Present,2
A1774046,8.31,Restaurants and Food Services,Debit,FAYETTEVILLE,NC,Millennial,Card Present,0
A2741141,20.75,Restaurants and Food Services,Debit,DELAWARE,OH,Gen Z,Card Not Present,0
A2476875,19.45,Restaurants and Food Services,Debit,MADISON,,Millennial,Card Present,2
A1421279,12.01,Restaurants and Food Services,Credit,FRANCESTOWN,NH,Unknown,Card Present,2
A3374585,26.14,Restaurants and Food Services,Credit,HENDERSON,NV,Millennial,Card Present,0
A9033466,34.22,Restaurants and Food Services,Debit,DESTIN,FL,Baby Boomer,Card Present,0
A8426110,112.16,Restaurants and Food Services,Debit,DEFUNIAK SPRINGS,FL,Gen X,Card Present,0
A6332382,11.53,Restaurants and Food Services,Debit,ASHEBORO,NC,Gen X,Card Present,2
A3282406,5.19,Restaurants and Food Services,Debit,CLARKSTON,WA,Gen X,Unknown,0
A4346390,11.44,Restaurants and Food Services,Credit,NEW YORK,NY,Unknown,Card Not Present,0
A2268394,24.7,Restaurants and Food Services,Credit,RICHMOND,KY,Gen X,Card Not Present,0
A3062028,51.87,Restaurants and Food Services,Credit,KERNERSVILLE,NC,Baby Boomer,Card Present,0
A4161344,12.48,Restaurants and Food Services,Debit,LEXINGTON,SC,Gen X,Card Not Present,0
A2228007,21.25,Restaurants and Food Services,Debit,MONROE,WI,Millennial,Unknown,0
A8882143,16.46,Restaurants and Food Services,Debit,TEXARKANA,AR,Millennial,Card Present,0
A5966098,34.36,Restaurants and Food Services,Credit,JACKSONVILLE,FL,Millennial,Unknown,0
A2757487,6.16,Restaurants and Food Services,Debit,PLEASANTVILLE,NJ,Gen X,Card Present,0
A1145720,21.63,Restaurants and Food Services,Credit,LONG GROVE,IA,Gen X,Card Present,0
A7766658,13.96,Restaurants and Food Services,Debit,BAKERSFIELD,CA,Gen X,Card Present,0
A2387063,8.34,Restaurants and Food Services,Credit,MINNEAPOLIS,MN,Gen X,Card Present,2
A5316584,1.86,Restaurants and Food Services,Debit,LAKE GENEVA,WI,Millennial,Card Present,2
A7129960,9.53,Restaurants and Food Services,Debit,BARTLESVILLE,OK,Gen X,Card Present,0
A7243666,16.42,Restaurants and Food Services,Debit,TERRA ALTA,WV,Gen X,Card Present,2
A9673356,8.95,Restaurants and Food Services,Debit,HINESVILLE,GA,Millennial,Card Present,2
A4511245,12.18,Restaurants and Food Services,Debit,EULESS,TX,Gen Z,Card Present,0
A8432326,41.54,Restaurants and Food Services,Credit,NEW ORLEANS,LA,Gen X,Card Present,2
A1911191,22.92,Restaurants and Food Services,Debit,THATCHER,AZ,Gen X,Card Present,0
A3776769,9.33,Restaurants and Food Services,Credit,HOPKINS,MN,Baby Boomer,Card Present,2
A9880023,47.8,Restaurants and Food Services,Credit,NOBLESVILLE,IN,Unknown,Card Present,0
A6851903,23.97,Restaurants and Food Services,Debit,HUNTINGTON BEACH,CA,Gen X,Unknown,2
A2953981,1.11,Consumer Services,Debit,LYMAN,SC,Baby Boomer,Card Present,0
A7731314,9.32,Restaurants and Food Services,Debit,MATTHEWS,NC,Millennial,Card Present,2
A4457535,17.91,Restaurants and Food Services,Debit,PLAIN CITY,OH,Millennial,Card Present,2
A3890175,11.71,Restaurants and Food Services,Credit,BLYTHEWOOD,SC,Baby Boomer,Card Present,2
A4278777,5.63,Restaurants and Food Services,Credit,FRANKLIN,TN,Gen X,Card Present,2
A1390445,8.14,Restaurants and Food Services,Debit,MAGNOLIA,TX,Baby Boomer,Card Present,0
A5684995,46.89,Restaurants and Food Services,Debit,SUISUN CITY,CA,Millennial,Card Present,0
A8546740,8.23,Restaurants and Food Services,Debit,SAINT PETERSBURG,FL,Baby Boomer,Card Present,2
A7468311,3.02,Restaurants and Food Services,Debit,PICKERINGTON,OH,Gen X,Card Present,0
A6881202,16.05,Restaurants and Food Services,Debit,GARRETTSVILLE,OH,Gen X,Card Present,2
A3450558,11.38,Restaurants and Food Services,Debit,KILLEN,AL,Baby Boomer,Card Present,0
A6090895,44.83,Restaurants and Food Services,Credit,IRVINE,CA,Gen X,Card Not Present,0
A2060865,3.25,Restaurants and Food Services,Debit,NEWBURGH,IN,Gen X,Card Present,0
A7149300,9.68,Restaurants and Food Services,Debit,ARGENTA,IL,Unknown,Card Present,0
A8894847,9.91,Restaurants and Food Services,Debit,WESTERVILLE,OH,Unknown,Card Not Present,0
A9069454,16.45,Restaurants and Food Services,Debit,FOND DU LAC,WI,Gen X,Unknown,2
A3278619,16.41,Restaurants and Food Services,Credit,TAMPA,FL,Baby Boomer,Card Present,0
A3819507,22.48,Restaurants and Food Services,Debit,ASHTABULA,OH,Gen X,Card Present,2
A9851639,5.16,Restaurants and Food Services,Debit,ORLANDO,FL,Baby Boomer,Card Present,2
A3173474,11.91,Restaurants and Food Services,Debit,DEARBORN HEIGHTS,MI,Baby Boomer,Card Present,0
A4123871,24.15,Restaurants and Food Services,Debit,CEDAR FALLS,IA,Gen X,Card Present,0
A4708537,2.96,Consumer Services,Debit,CEDAR CITY,UT,Millennial,Unknown,0
A3848255,13.02,Restaurants and Food Services,Credit,AUSTIN,TX,Millennial,Card Present,2
A1454964,6.63,Restaurants and Food Services,Credit,CARY,NC,Gen X,Card Present,1
A7711360,29.67,Restaurants and Food Services,Credit,GOLDEN,CO,Baby Boomer,Card Present,2
A5971287,7.1,Restaurants and Food Services,Debit,MESQUITE,TX,Baby Boomer,Unknown,0
A7267568,25.69,Restaurants and Food Services,Debit,BLOOMFIELD,NJ,Millennial,Card Present,0
A4841847,14.07,Restaurants and Food Services,Debit,WRIGHT CITY,MO,Millennial,Unknown,0
A7799327,14.14,Restaurants and Food Services,Debit,LAS VEGAS,NV,Millennial,Card Not Present,0
A9543261,3.97,Restaurants and Food Services,Debit,ADDISON,NY,Gen X,Card Present,0
A7834408,7.47,Restaurants and Food Services,Debit,CLARKSVILLE,IN,Millennial,Card Present,0
A8316112,6.02,Restaurants and Food Services,Credit,FORT COLLINS,CO,Millennial,Card Present,2
A7585227,5.54,Restaurants and Food Services,Credit,STATE COLLEGE,PA,Millennial,Card Present,0
A4222944,10.05,Restaurants and Food Services,Debit,HOUSTON,TX,Gen Z,Card Not Present,0
A4447656,16.85,Restaurants and Food Services,Debit,WARREN,OH,Baby Boomer,Card Present,0
A4745541,11.14,Restaurants and Food Services,Debit,ALLENTOWN,PA,Gen Z,Card Present,0
A4753958,12.47,Restaurants and Food Services,Debit,WALDORF,MD,Unknown,Unknown,0
A7948844,6.06,Restaurants and Food Services,Debit,CHESAPEAKE,VA,Gen Z,Unknown,2
A4677202,9.78,Restaurants and Food Services,Credit,NORTH OLMSTED,OH,Millennial,Card Present,1
A5405382,1.26,Restaurants and Food Services,Credit,JANESVILLE,WI,Millennial,Unknown,0
A5640196,21.69,Restaurants and Food Services,Debit,EL PASO,TX,Gen X,Card Present,0
A6367058,17.17,Restaurants and Food Services,Credit,RANCHO CORDOVA,CA,Millennial,Card Present,2
A9360494,12.1,Restaurants and Food Services,Credit,PORTLAND,OR,Millennial,Card Present,0
A6860170,2.83,Restaurants and Food Services,Debit,WARMINSTER,PA,Gen X,Card Present,1
A3373731,14.14,Restaurants and Food Services,Debit,HARRISONVILLE,MO,Silent,Card Present,0
A5549845,9.83,Restaurants and Food Services,Debit,CUYAHOGA FALLS,OH,Millennial,Card Present,0
A5088371,12.39,Restaurants and Food Services,Credit,MISSION HILLS,CA,Millennial,Card Present,0
A5013195,12.64,Restaurants and Food Services,Debit,MCKINNEY,TX,Millennial,Card Present,0
A6956437,4.48,Restaurants and Food Services,Debit,ROCHESTER,NY,Millennial,Card Present,0
A8483825,33.71,Restaurants and Food Services,Debit,ODESSA,TX,Millennial,Card Present,0
A6547860,8.14,Restaurants and Food Services,Debit,MIDLOTHIAN,VA,Millennial,Card Present,0
A8755162,16.71,Restaurants and Food Services,Debit,FORT LAUDERDALE,FL,Millennial,Card Present,0
A3656867,12.99,Restaurants and Food Services,Debit,BUFFALO,NY,Millennial,Card Present,2
A8705670,13.61,Restaurants and Food Services,Debit,DELAND,FL,Gen Z,Card Present,0
A3373731,16.64,Restaurants and Food Services,Debit,HOUSTON,TX,Unknown,Card Present,2
A1984169,7.21,Restaurants and Food Services,Debit,MISHAWAKA,IN,Millennial,Card Present,0
A2746896,10.05,Restaurants and Food Services,Debit,LIVONIA,MI,Millennial,Card Present,0
A6608311,6.4,Restaurants and Food Services,Debit,SAN DIEGO,CA,Millennial,Card Present,2
A2123759,26.46,Restaurants and Food Services,Debit,JACKSONVILLE,FL,Millennial,Unknown,0
A9193045,18.07,Restaurants and Food Services,Debit,WALLAND,TN,Millennial,Card Present,0
A3454731,10.13,Restaurants and Food Services,Credit,IRVING,TX,Millennial,Card Not Present,0
A2235073,55.99,Restaurants and Food Services,Debit,SAINT PAUL,MN,Millennial,Card Present,2
A7533160,10.12,Restaurants and Food Services,Debit,OCALA,FL,Unknown,Unknown,0
A3124459,1.85,Restaurants and Food Services,Debit,CLINTON TOWNSHIP,MI,Millennial,Card Present,0
A6144941,10.29,Restaurants and Food Services,Debit,SPRINGFIELD,OH,Gen X,Card Present,0
A4298659,19.91,Restaurants and Food Services,Debit,CHERRYVILLE,NC,Unknown,Unknown,0
A3528758,4.22,Restaurants and Food Services,Debit,WICHITA FALLS,TX,Gen Z,Card Not Present,0
A7869954,28.41,Restaurants and Food Services,Credit,WARREN,MI,Unknown,Card Not Present,0
A9451965,20.09,Restaurants and Food Services,Debit,FULLERTON,CA,Gen X,Card Present,1
A2788189,7.17,Restaurants and Food Services,Debit,MONROE,MI,Millennial,Card Present,0
A4159320,32.88,Restaurants and Food Services,Credit,BILOXI,MS,Millennial,Card Present,2
A7863013,8.87,Restaurants and Food Services,Debit,WARD,SC,Baby Boomer,Card Present,0
A1661236,11.96,Restaurants and Food Services,Credit,PRINEVILLE,OR,Millennial,Card Present,0
A6238057,11.85,Restaurants and Food Services,Debit,EL PASO,TX,Gen X,Card Present,0
A1152173,13.26,Restaurants and Food Services,Debit,EL PASO,TX,Baby Boomer,Card Present,0
A5115730,23.36,Restaurants and Food Services,Debit,LAKE VILLA,IL,Millennial,Card Present,0
A2580428,13.27,Restaurants and Food Services,Credit,LAS CRUCES,NM,Gen X,Card Present,2
A2225286,8.75,Restaurants and Food Services,Debit,ENGLEWOOD,OH,Gen X,Card Present,0
A9173082,16.34,Restaurants and Food Services,Debit,SHELBYVILLE,TN,Gen X,Card Present,0
A7040905,12.01,Restaurants and Food Services,Debit,WATERBURY,CT,Gen X,Card Present,1
A4790538,8.37,Restaurants and Food Services,Debit,CHICAGO,IL,Gen Z,Card Present,2
A2469423,7.6,Restaurants and Food Services,Debit,COCOA,FL,Millennial,Card Present,0
A1421279,7.4,Restaurants and Food Services,Credit,RICHLAND,WA,Millennial,Card Present,0
A5564436,15.36,Restaurants and Food Services,Debit,JACKSONVILLE,FL,Baby Boomer,Card Present,0
A9889635,11.9,Restaurants and Food Services,Debit,FARGO,ND,Gen X,Card Present,2
A7055416,25.14,Restaurants and Food Services,Debit,SANFORD,FL,Gen X,Unknown,2
A7528852,5.21,Restaurants and Food Services,Debit,COLONIAL HEIGHTS,VA,Millennial,Unknown,0
A1725506,10.28,Restaurants and Food Services,Credit,FORT WORTH,TX,Gen X,Card Present,0
A8744353,3.15,Restaurants and Food Services,Debit,PARKERSBURG,WV,Baby Boomer,Card Present,0
A3714339,25.9,Restaurants and Food Services,Debit,LAYTON,UT,Unknown,Card Present,2
A4159320,22.3,Restaurants and Food Services,Debit,HUMBLE,TX,Millennial,Unknown,0
A8537765,11.78,Restaurants and Food Services,Debit,DALLAS,TX,Gen Z,Card Present,0
A5280817,32.44,Restaurants and Food Services,Credit,TUCSON,AZ,Baby Boomer,Card Present,0
A1651154,9.78,Restaurants and Food Services,Debit,NEWBERRY,SC,Gen X,Card Present,0
A5746116,0.01,Restaurants and Food Services,Debit,SALT LAKE CITY,UT,Millennial,Unknown,2
A6436692,15.57,Restaurants and Food Services,Debit,JACKSON,TN,Millennial,Card Present,0
A3449766,40.04,Restaurants and Food Services,Debit,HOUSTON,TX,Gen Z,Card Present,2
A7793745,28.67,Restaurants and Food Services,Debit,JACKSONVILLE,FL,Gen Z,Card Present,0
A7065473,14.41,Restaurants and Food Services,Debit,LAKESIDE,CA,Millennial,Card Present,2
A3454731,1.71,Restaurants and Food Services,Debit,IUKA,MS,Unknown,Card Present,2
A7028901,9.07,Restaurants and Food Services,Credit,JOPLIN,MO,Baby Boomer,Card Present,2
A8865355,1.71,Restaurants and Food Services,Debit,MOUNT AIRY,NC,Unknown,Card Present,0
A6822863,83.65,Restaurants and Food Services,Credit,CAMARILLO,CA,Millennial,Card Present,0
A1739118,13.17,Restaurants and Food Services,Debit,HIGH POINT,NC,Gen X,Card Present,0
A4897256,23.35,Restaurants and Food Services,Debit,COLUMBUS GROVE,OH,Gen Z,Card Present,0
A2006650,19.77,Restaurants and Food Services,Credit,SAINT PAUL,MN,Gen Z,Card Present,0
A6071930,8.33,Retail,Debit,MIAMI,FL,Baby Boomer,Card Present,0
